date,site_bed,fisher_name,tow,lat_start,long_start,lat_end,long_end,depth_ft,direction,speed_kts,towing_time_min,lobster,depth_m,number_scallop
2018-05-04,West Point ,Ricky Gallant,45,46.60941667,-64.4461,46.60681667,-64.44171667,82.6,153.8,2.8,5,1,25.2,117
2018-05-04,West Point ,Ricky Gallant,46,46.60416667,-64.43306667,46.6008,-64.43043333,76.3,164.4,2.6,5,1,23.3,100
2018-05-04,West Point ,Ricky Gallant,47,46.59665,-64.42701667,46.59311667,-64.42278333,77.9,167,2.5,5,4,23.7,65
2018-05-04,West Point ,Ricky Gallant,48,46.5826,-64.40995,,,88.6,158.8,2.8,5,3,27.0,18
2018-05-04,West Point ,Ricky Gallant,49,46.57381667,-64.39678333,46.57288333,-64.39116667,79.6,126,2.3,5,3,24.3,28
2018-05-04,West Point ,Ricky Gallant,50,46.5736,-64.38966667,46.57565,-64.39375,76.5,340.7,2.4,5,0,23.3,28
2018-05-04,West Point ,Ricky Gallant,51,46.58638333,-64.41081667,46.58896667,-64.4143,77,333.4,2.6,5,0,23.5,34
2018-05-04,West Point ,Ricky Gallant,52,46.5949,-64.42295,46.59736667,-64.42595,77.5,339.5,2.5,5,0,23.6,87
2018-05-04,West Point ,Ricky Gallant,53,46.5982,-64.42648333,46.60036667,-64.42928333,76.8,344,2.3,5,0,23.4,99
2018-05-04,West Point ,Ricky Gallant,54,46.601,-64.43056667,46.60348333,-64.43361667,77.2,345.4,2.4,5,1,23.5,74
2018-05-04,West Point ,Ricky Gallant,55,46.60461667,-64.43578333,46.6072,-64.43885,78.4,336.8,2.2,5,1,23.9,93
2018-05-04,West Point ,Ricky Gallant,56,46.61005,-64.44133333,46.61205,-64.44528333,78,335.1,2.3,5,0,23.8,67
2018-05-04,West Point ,Ricky Gallant,57,46.61655,-64.44835,46.61935,-64.45048333,79,351,2.4,5,0,24.1,63
2018-05-04,West Point ,Ricky Gallant,58,46.62226667,-64.45345,46.62473333,-64.45693333,78.7,329.6,2.4,5,0,24.0,38
2018-05-04,West Point ,Ricky Gallant,59,46.62551667,-64.46443333,46.62731667,-64.46703333,88.5,328.6,2.5,5,0,27.0,65
2018-05-04,West Point ,Ricky Gallant,60,46.62975,-64.4708,46.63721667,-64.47573333,95.2,328.7,2.5,5,0,29.0,62
